ID,county,謝長廷,馬英九,,
6300400-023,臺北市中山區中庄里,2074,349,,
6300400-024,臺北市中山區行政里,349,363,,
6300400-025,臺北市中山區行仁里,363,1579,,
6300400-026,臺北市中山區行孝里,1579,1721,,
6300400-027,臺北市中山區下埤里,1721,1780,,
6300400-028,臺北市中山區江寧里,1780,2410,,
6300400-029,臺北市中山區江山里,2410,422,,
6300400-030,臺北市中山區中吉里,422,619,,
6300400-031,臺北市中山區中原里,619,2677,,
6300400-032,臺北市中山區興亞里,2677,4872,,
6300400-033,臺北市中山區中央里,4872,1225,,
6300400-034,臺北市中山區朱馥里,1225,2159,,
6300400-035,臺北市中山區龍洲里,2159,1500,,
6300400-036,臺北市中山區朱園里,1500,2310,,
6300400-037,臺北市中山區埤頭里,2310,1129,,
6300400-038,臺北市中山區朱崙里,1129,1363,,
6300400-039,臺北市中山區力行里,1363,887,,
6300400-040,臺北市中山區復華里,887,1261,,
6300600-001,臺北市大同區玉泉里,1261,1078,,
6300600-002,臺北市大同區建明里,1078,1449,,
6300600-003,臺北市大同區建功里,1449,2107,,
6300600-004,臺北市大同區建泰里,2107,3708,,
6300600-005,臺北市大同區永樂里,3708,1250,,
6300600-006,臺北市大同區朝陽里,1250,2854,,
6300600-007,臺北市大同區星明里,2854,2218,,
6300600-008,臺北市大同區光能里,2218,3408,,
6300600-009,臺北市大同區大有里,3408,2248,,
6300600-010,臺北市大同區延平里,2248,4040,,
6300600-011,臺北市大同區雙連里,4040,1075,,
6300600-012,臺北市大同區南芳里,1075,2112,,
6300600-013,臺北市大同區民權里,2112,1399,,
6300600-014,臺北市大同區景星里,1399,1489,,
6300600-015,臺北市大同區隆和里,1489,1351,,
6300600-016,臺北市大同區蓬萊里,1351,1740,,
6300600-017,臺北市大同區國順里,1740,1784,,
6300600-018,臺北市大同區國慶里,1784,2875,,
6300600-019,臺北市大同區揚雅里,2875,855,,
6300600-020,臺北市大同區斯文里,855,1674,,
6300600-021,臺北市大同區鄰江里,1674,1226,,
6300600-022,臺北市大同區至聖里,1226,2282,,
6300600-024,臺北市大同區老師里,2282,909,,
6300600-025,臺北市大同區重慶里,909,1954,,
6300600-026,臺北市大同區保安里,1954,1189,,
6300500-001,臺北市中正區水源里,1189,1904,,
6300500-002,臺北市中正區富水里,1904,1290,,
6300500-003,臺北市中正區文盛里,1290,2031,,
6300500-004,臺北市中正區林興里,2031,1460,,
6300500-005,臺北市中正區河堤里,1460,2960,,
6300500-006,臺北市中正區頂東里,2960,1000,,
6300500-007,臺北市中正區網溪里,1000,2620,,
6300500-008,臺北市中正區板溪里,2620,1246,,
6300500-009,臺北市中正區螢圃里,1246,2527,,
6300500-010,臺北市中正區螢雪里,2527,1921,,
6300500-011,臺北市中正區永功里,1921,3467,,
6300500-012,臺北市中正區永昌里,3467,1486,,
6300500-013,臺北市中正區龍興里,1486,3004,,
6300500-014,臺北市中正區忠勤里,3004,1159,,
6300500-015,臺北市中正區廈安里,1159,1874,,
6300500-016,臺北市中正區愛國里,1874,1102,,
6300500-017,臺北市中正區南門里,1102,2271,,
6300500-018,臺北市中正區龍光里,2271,1179,,
6300500-019,臺北市中正區南福里,1179,2084,,
6300500-020,臺北市中正區龍福里,2084,878,,
6300500-021,臺北市中正區新營里,878,2111,,
1001701-013,臺北市中正區建國里,2111,1114,,
6300500-023,臺北市中正區光復里,1114,1816,,
6300500-024,臺北市中正區黎明里,1816,929,,
6300500-025,臺北市中正區梅花里,929,1920,,
6300500-026,臺北市中正區幸福里,1920,1636,,
6300500-027,臺北市中正區幸市里,1636,3117,,
6300500-028,臺北市中正區東門里,3117,1364,,
6300500-029,臺北市中正區文北里,1364,4767,,
6300500-030,臺北市中正區文祥里,4767,692,,
6300500-031,臺北市中正區三愛里,692,1109,,
6300700-001,臺北市萬華區福星里,1109,1110,,
6300700-002,臺北市萬華區萬壽里,1110,1794,,
6300700-003,臺北市萬華區西門里,1794,1369,,
6300700-004,臺北市萬華區新起里,1369,2760,,
6300700-005,臺北市萬華區菜園里,2760,2288,,
6300700-006,臺北市萬華區青山里,2288,3380,,
6300700-007,臺北市萬華區富民里,3380,1283,,
6300700-008,臺北市萬華區福音里,1283,3021,,
6300700-009,臺北市萬華區仁德里,3021,1012,,
6300700-010,臺北市萬華區富福里,1012,1467,,
6300700-019,臺北市萬華區柳鄉里,1467,1849,,
6300700-018,臺北市萬華區華江里,1849,2150,,
6300700-015,臺北市萬華區糖?里,2150,2325,H,2150
6300700-017,臺北市萬華區綠堤里,2325,3095,,
6300700-011,臺北市萬華區頂碩里,3095,1019,,
6300700-012,臺北市萬華區雙園里,1019,2869,,
6300700-016,臺北市萬華區和平里,2869,826,,
6300700-024,臺北市萬華區和德里,826,5669,,
6300700-026,臺北市萬華區全德里,5669,1948,,
6300700-020,臺北市萬華區日善里,1948,3558,,
6300700-030,臺北市萬華區壽德里,3558,1941,,
6300700-022,臺北市萬華區忠德里,1941,3163,,
6300700-025,臺北市萬華區錦德里,3163,1465,,
6300700-028,臺北市萬華區銘德里,1465,2803,,
6300700-023,臺北市萬華區孝德里,2803,2232,,
6300700-027,臺北市萬華區保德里,2232,3300,,
6300700-029,臺北市萬華區榮德里,3300,990,,
6300700-032,臺北市萬華區華中里,990,1587,,
6300700-031,臺北市萬華區興德里,1587,847,,
6300700-033,臺北市萬華區日祥里,847,1265,,
6300700-034,臺北市萬華區忠貞里,1265,903,,
6300700-013,臺北市萬華區新忠里,903,1666,,
6300700-014,臺北市萬華區新和里,1666,1848,,
6300700-021,臺北市萬華區新安里,1848,2799,,
6300700-035,臺北市萬華區凌霄里,2799,703,,
6300700-036,臺北市萬華區騰雲里,703,1347,,
6300300-001,臺北市大安區德安里,1347,871,,
6300300-002,臺北市大安區仁慈里,871,1898,,
6300300-003,臺北市大安區和安里,1898,1618,,
6300300-004,臺北市大安區民炤里,1618,2269,,
6300300-005,臺北市大安區仁愛里,2269,644,,
6300300-006,臺北市大安區義村里,644,1088,,
6300300-007,臺北市大安區民輝里,1088,553,,
6300300-008,臺北市大安區昌隆里,553,2775,,
6300300-009,臺北市大安區誠安里,2775,794,,
6300300-010,臺北市大安區光武里,794,2309,,
6300300-011,臺北市大安區龍坡里,2309,572,,
6300300-012,臺北市大安區龍泉里,572,1375,,
6300300-013,臺北市大安區古風里,1375,664,,
6300300-014,臺北市大安區古莊里,664,1330,,
6300300-015,臺北市大安區龍安里,1330,613,,
