Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
萬華區保德里,6300700-027,林昶佐,時代力量,林郁方,中國國民黨,572,460,2025,2060,2850,72.41
萬華區菜園里,6300700-005,林昶佐,時代力量,林郁方,中國國民黨,537,329,3556,3616,5271,68.655
萬華區頂碩里,6300700-011,林昶佐,時代力量,林郁方,中國國民黨,511,290,4449,4541,6390,70.94
萬華區福星里,6300700-001,林昶佐,時代力量,林郁方,中國國民黨,520,486,2984,3039,4715,64.75
萬華區福音里,6300700-008,林昶佐,時代力量,林郁方,中國國民黨,616,436,2103,2143,3039,70.47
萬華區富福里,6300700-010,林昶佐,時代力量,林郁方,中國國民黨,550,449,2934,2981,5497,72.16
萬華區富民里,6300700-007,林昶佐,時代力量,林郁方,中國國民黨,549,292,2956,3014,4409,66.08
萬華區和德里,6300700-024,林昶佐,時代力量,林郁方,中國國民黨,431,315,4002,4061,6030,67.18
萬華區和平里,6300700-016,林昶佐,時代力量,林郁方,中國國民黨,700,406,4149,4227,6044,71.18
萬華區華江里,6300700-018,林昶佐,時代力量,林郁方,中國國民黨,542,384,4929,5014,7319,69.26
萬華區華中里,6300700-032,林昶佐,時代力量,林郁方,中國國民黨,496,381,3767,3827,5339,72.28
萬華區錦德里,6300700-025,林昶佐,時代力量,林郁方,中國國民黨,589,419,3320,3388,4826,69.58
萬華區凌霄里,6300700-035,林昶佐,時代力量,林郁方,中國國民黨,233,475,2258,2300,3288,69.57
萬華區柳鄉里,6300700-019,林昶佐,時代力量,林郁方,中國國民黨,635,339,3149,3202,4701,67.3
萬華區綠堤里,6300700-017,林昶佐,時代力量,林郁方,中國國民黨,353,409,2462,2512,3765,65.64
萬華區銘德里,6300700-028,林昶佐,時代力量,林郁方,中國國民黨,513,388,2835,2885,4066,71.55
萬華區青山里,6300700-006,林昶佐,時代力量,林郁方,中國國民黨,408,252,3327,3403,5077,67.165
萬華區全德里,6300700-026,林昶佐,時代力量,林郁方,中國國民黨,481,357,2485,2526,3563,70.94
萬華區仁德里,6300700-009,林昶佐,時代力量,林郁方,中國國民黨,503,350,2893,2937,4170,70.03
萬華區日善里,6300700-020,林昶佐,時代力量,林郁方,中國國民黨,650,406,2270,2310,3162,73.085
萬華區日祥里,6300700-033,林昶佐,時代力量,林郁方,中國國民黨,256,346,3360,3443,4790,72.14
